Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.41626E-3,33.526109934,0.498178944,0.274545455,0.2,0
1.42888E-3,33.811022217,0.500395563,0.272727273,0.2,0
1.43273E-3,34.097548953,0.501069123,0.270909091,0.2,0
1.43591E-3,34.384536901,0.501623497,0.269090909,0.2,0
1.43613E-3,34.528149542,0.501660653,0.268181818,0.2,0
1.45613E-3,34.817909221,0.505119199,0.266363636,0.2,0
1.45912E-3,35.109544201,0.505631442,0.264545455,0.2,0
1.46062E-3,35.255606416,0.50588863,0.263636364,0.2,0
1.47558E-3,35.549465788,0.50843496,0.261818182,0.2,0
1.48822E-3,35.846254526,0.510567583,0.26,0.2,0
1.49151E-3,36.144383034,0.511117962,0.258181818,0.266666667,0
1.4961E-3,36.293993383,0.511887058,0.257272727,0.266666667,0
1.50944E-3,36.595229078,0.514103849,0.255454545,0.266666667,0
1.527E-3,36.89908841,0.516992892,0.253636364,0.266666667,0
1.52783E-3,37.051871516,0.517128859,0.252727273,0.266666667,0
1.53232E-3,37.358186779,0.517861159,0.250909091,0.266666667,0
1.53694E-3,37.51188125,0.518613802,0.25,0.266666667,0
1.53803E-3,37.819461714,0.518789787,0.248181818,0.266666667,0
1.56246E-3,38.129899652,0.52272302,0.246363636,0.266666667,0
1.56262E-3,38.286161637,0.52274852,0.245454545,0.266666667,0
1.56946E-3,38.599386465,0.523838276,0.243636364,0.266666667,0
1.57143E-3,38.75652913,0.524150452,0.242727273,0.266666667,0
1.57843E-3,39.071519513,0.525259075,0.240909091,0.266666667,0
1.58695E-3,39.388256571,0.526601719,0.239090909,0.266666667,0
1.59346E-3,39.547602104,0.52762134,0.238181818,0.266666667,0
1.61892E-3,39.869157704,0.531570657,0.236363636,0.266666667,0
1.62042E-3,40.031199543,0.531801392,0.235454545,0.266666667,0
1.62761E-3,40.356198254,0.532904331,0.233636364,0.266666667,0
1.63079E-3,40.519277092,0.533389411,0.232727273,0.266666667,0
1.64191E-3,40.847305784,0.535081097,0.230909091,0.266666667,0
1.65295E-3,41.012600934,0.536747524,0.23,0.266666667,0
1.69443E-3,41.347988048,0.542904202,0.228181818,0.266666667,0
1.70167E-3,41.518155301,0.543962371,0.227272727,0.266666667,0
1.73133E-3,41.863765332,0.548245744,0.225454545,0.333333333,0
1.74462E-3,42.038227759,0.550139006,0.224545455,0.333333333,0
1.76031E-3,42.389655879,0.552353568,0.222727273,0.333333333,0
1.78173E-3,42.567828932,0.555341887,0.221818182,0.333333333,0
1.78877E-3,42.925169285,0.556314764,0.22,0.333333333,0
1.78975E-3,43.104144562,0.556450949,0.219090909,0.333333333,0
1.80018E-3,43.284162689,0.557884429,0.218181818,0.333333333,0
1.8039E-3,43.644942478,0.558393497,0.216363636,0.333333333,0
1.80755E-3,43.825697625,0.558891946,0.215454545,0.333333333,0
1.81138E-3,44.006835578,0.559413438,0.214545455,0.333333333,0
1.82779E-3,44.371206954,0.561635594,0.212727273,0.333333333,0
1.83348E-3,44.55455519,0.562400526,0.211818182,0.333333333,0
1.84978E-3,44.923786173,0.564576723,0.21,0.333333333,0
1.85149E-3,45.108934747,0.564803827,0.209090909,0.333333333,0
1.85298E-3,45.294232562,0.565001866,0.208181818,0.333333333,0
1.88709E-3,45.668789747,0.569480276,0.206363636,0.333333333,0
1.89267E-3,45.858056653,0.570203426,0.205454545,0.333333333,0
1.89781E-3,46.047838006,0.570868524,0.204545455,0.333333333,0
1.90803E-3,46.42902142,0.572182771,0.202727273,0.333333333,0
1.92467E-3,46.621488517,0.574307611,0.201818182,0.333333333,0
1.92665E-3,46.814153302,0.574558573,0.200909091,0.333333333,0
1.93225E-3,47.007377919,0.57526767,0.2,0.333333333,0
1.9412E-3,47.395253312,0.576396559,0.198181818,0.333333333,0
1.94285E-3,47.589538767,0.576604888,0.197272727,0.333333333,0
1.94775E-3,47.784314038,0.577219478,0.196363636,0.333333333,0
1.95515E-3,48.174968632,0.578143718,0.194545455,0.333333333,0
